pos,word
짠하/VA,짠하다
짠해/VA,짠하다
짠할/VA,짠하다
짠했/VA,짠하다
짠한/VA,짠하다
짠함/NNG,짠하다
착잡/XR,착잡하다
착잡/NNG,착잡하다
참담/XR,참담하다
참담/NNG,참담하다
참혹/XR,참혹하다
참혹/NNG,참혹하다
참회/NNG,참회하다
처량/XR,처량하다
처량/NNG,처량하다
처절/NNG,처절하다
처참/XR,처참하다
처참/NNG,처참하다
청승맞/VA,청승맞다
청승/NNG+맞/VA,청승맞다
청승/NNG+맞/VV,청승맞다
초라/XR,초라하다
초라/NNG,초라하다
북받치/VV,북받치다
북받/VV,북받치다
북받침/NNG,북받치다
측은/NNG,측은하다
분통/NNG,분통터지다
치사/XR,치사하다
치사/NNG,치사하다
분하/VA,분하다
분한/VA,분하다
분했/VA,분하다
분할/VA,분하다
분함/NNG,분하다
치욕/NNG,치욕적
불만/NNG,불만스럽다
불친절/NNG,불친절
불/XPN+친절/NNG,불친절
파괴/NNG,파괴
불쾌/XR,불쾌
불쾌/NNG,불쾌
한심/XR,한심하다
한심/NNG,한심하다
빌어먹/VV,빌어먹을
빌어먹/NNG,빌어먹을
빡치/VV,빡치다
빡/NNG+치/VV,빡치다
빡치/NNG,빡치다
빡침/NNG,빡치다
개빡/NNG,빡치다
개/NNG+빡/MAG,빡치다
개/NNB+빡/MAG,빡치다
빡/MAG+쳤/VV+EP,빡치다
빡/MAG+치/VV,빡치다
빡/MAG+친/VV+ETM,빡치다
빡/MAG+치/VV+는/ETM,빡치다
빡/MAG+칠/VV+ETM,빡치다
화나/VV,화나다
화남/NNG,화나다
화났/VV,화나다
,화나다
뾰루퉁/XR,뾰루퉁하다
뾰루퉁/NNG,뾰루퉁하다
삐치/VV,삐치다
삐쳤/VV,삐치다
삐칠/VV,삐치다
삐친/VV,삐치다
삐지/VV,삐치다
삐졌/VV,삐치다
삐질/VV,삐치다
삐진/VV,삐치다
삐침/NNG,삐치다
삐짐/NNG,삐치다
흥분/NNG,흥분하다
가당찮/VA,가당찮다
가당찮/NNG,가당찮다
시부렁/VV,시부렁거리다
시부렁/XR,시부렁거리다
시부렁/NNG,시부렁거리다
가증/XR,가증스럽다
가증/NNG,가증스럽다
신경질/NNG,신경질적
신경질/NNG+적/XSN,신경질적
신경질적/NNG,신경질적
갈기갈기/MAG,갈기갈기
실망/NNG,실망이다
개떡/NNG+같/VA,개떡같다
개새끼/NNG,개새끼
개/NNG+썅/MAG+년/NNG,개썅년
썅/MAG+년/NNG,개썅년
개썅년/NNG,개썅년
썅년/NNG,개썅년
심술궂/VA,심술궂다
심술궂/NNG,심술궂다
개자식/NNG,개자식
심통/NNG,심통
싸가지/NNG,싸가지
쌍년/NNG,쌍년
거지/NNG,거지같다
쌍놈/NNG,쌍놈
격노/NNG,격노하다
씨부랄/IC,씨부랄
격분/NNG,격분하다
씨부렁/VV,씨부렁거리다
씨부렁/XR,씨부렁거리다
씨부렁/NNG,씨부렁거리다
격앙/NNG,격앙되다
씩씩거리/VV,씩씩거리다
씩씩거렸/VV,씩씩거리다
씩씩거릴/VV,씩씩거리다
씩씩거린/VV,씩씩거리다
씩씩거림/NNG,씩씩거리다
격양/NNG,격양되다
씹새끼/NNG,씹새끼
씹/NNG+새끼/NNG,씹새끼
격해/VA,격해지다
격하/VA,격해지다
격함/NNG,격해지다
괘씸/XR,괘씸하다
괘씸/NNG,괘씸하다
야박/NNG,야박하다
약오르/VV,약오르다
약올라/VV,약오르다
약오른/VV,약오르다
약올랐/VV,약오르다
약오를/VV,약오르다
약/NNG+오르/VV,약오르다
약/NNG+올라/VV,약오르다
약/NNG+오른/VV,약오르다
약/NNG+올랐/VV,약오르다
약/NNG+오를/VV,약오르다
약오름/NNG,약오르다
약/NNG+오름/NNG,약오르다
얄밉/VA,얄밉다
얄미/VA,얄밉다
얄미움/NNG,얄밉다
그년/NP,그년
